T,T_k,M,LW,LW_h,LW_t
48.98989899,322.139899,4.202020202,-18.61,3.348320563,-15.26078823
48.98989899,322.139899,4.267676768,-23.92,3.348320563,-20.57360333
48.98989899,322.139899,4.333333333,-30.18,3.348320563,-26.83163639
48.98989899,322.139899,4.398989899,-37.59,3.348320563,-34.24564302
48.98989899,322.139899,4.464646465,-46.44,3.348320563,-43.09079666
48.98989899,322.139899,4.53030303,NaN,3.348320563,NaN
48.98989899,322.139899,4.595959596,NaN,3.348320563,NaN
48.98989899,322.139899,4.661616162,NaN,3.348320563,NaN
48.98989899,322.139899,4.727272727,NaN,3.348320563,NaN
48.98989899,322.139899,4.792929293,NaN,3.348320563,NaN
48.98989899,322.139899,4.858585859,NaN,3.348320563,NaN
48.98989899,322.139899,4.924242424,NaN,3.348320563,NaN
48.98989899,322.139899,4.98989899,NaN,3.348320563,NaN
48.98989899,322.139899,5.055555556,NaN,3.348320563,NaN
48.98989899,322.139899,5.121212121,NaN,3.348320563,NaN
48.98989899,322.139899,5.186868687,NaN,3.348320563,NaN
48.98989899,322.139899,5.252525253,NaN,3.348320563,NaN
48.98989899,322.139899,5.318181818,NaN,3.348320563,NaN
48.98989899,322.139899,5.383838384,NaN,3.348320563,NaN
48.98989899,322.139899,5.449494949,NaN,3.348320563,NaN
48.98989899,322.139899,5.515151515,NaN,3.348320563,NaN
48.98989899,322.139899,5.580808081,NaN,3.348320563,NaN
48.98989899,322.139899,5.646464646,NaN,3.348320563,NaN
48.98989899,322.139899,5.712121212,NaN,3.348320563,NaN
48.98989899,322.139899,5.777777778,NaN,3.348320563,NaN
48.98989899,322.139899,5.843434343,NaN,3.348320563,NaN
48.98989899,322.139899,5.909090909,NaN,3.348320563,NaN
48.98989899,322.139899,5.974747475,NaN,3.348320563,NaN
48.98989899,322.139899,6.04040404,NaN,3.348320563,NaN
48.98989899,322.139899,6.106060606,NaN,3.348320563,NaN
48.98989899,322.139899,6.171717172,NaN,3.348320563,NaN
48.98989899,322.139899,6.237373737,NaN,3.348320563,NaN
48.98989899,322.139899,6.303030303,NaN,3.348320563,NaN
48.98989899,322.139899,6.368686869,NaN,3.348320563,NaN
48.98989899,322.139899,6.434343434,NaN,3.348320563,NaN
48.98989899,322.139899,6.5,NaN,3.348320563,NaN
48.48484848,321.6348485,0,0.00,3.196975821,3.196975821
48.48484848,321.6348485,0.065656566,0.23,3.196975821,3.423112871
48.48484848,321.6348485,0.131313131,0.47,3.196975821,3.664929714
48.48484848,321.6348485,0.196969697,0.73,3.196975821,3.929448395
48.48484848,321.6348485,0.262626263,1.02,3.196975821,4.214064906
48.48484848,321.6348485,0.328282828,1.32,3.196975821,4.516052716
48.48484848,321.6348485,0.393939394,1.64,3.196975821,4.83297881
48.48484848,321.6348485,0.45959596,1.97,3.196975821,5.16268824
48.48484848,321.6348485,0.525252525,2.31,3.196975821,5.503270504
48.48484848,321.6348485,0.590909091,2.66,3.196975821,5.853030278
48.48484848,321.6348485,0.656565657,3.01,3.196975821,6.210430245
48.48484848,321.6348485,0.722222222,3.37,3.196975821,6.56273675
48.48484848,321.6348485,0.787878788,3.72,3.196975821,6.916316621
48.48484848,321.6348485,0.853535354,4.12,3.196975821,7.315028129
48.48484848,321.6348485,0.919191919,4.49,3.196975821,7.690045269
48.48484848,321.6348485,0.984848485,4.87,3.196975821,8.066670348
48.48484848,321.6348485,1.050505051,5.25,3.196975821,8.443295427
48.48484848,321.6348485,1.116161616,5.62,3.196975821,8.819920506
48.48484848,321.6348485,1.181818182,6.00,3.196975821,9.196545585
48.48484848,321.6348485,1.247474747,6.38,3.196975821,9.573170664
48.48484848,321.6348485,1.313131313,6.75,3.196975821,9.949795743
48.48484848,321.6348485,1.378787879,7.13,3.196975821,10.32642082
48.48484848,321.6348485,1.444444444,7.51,3.196975821,10.7030459
48.48484848,321.6348485,1.51010101,7.83,3.196975821,11.02418668
48.48484848,321.6348485,1.575757576,8.18,3.196975821,11.37346237
48.48484848,321.6348485,1.641414141,8.52,3.196975821,11.71517638
48.48484848,321.6348485,1.707070707,8.85,3.196975821,12.04836207
48.48484848,321.6348485,1.772727273,9.18,3.196975821,12.37201627
48.48484848,321.6348485,1.838383838,9.49,3.196975821,12.68506522
48.48484848,321.6348485,1.904040404,9.79,3.196975821,12.98639328
48.48484848,321.6348485,1.96969697,10.08,3.196975821,13.27480202
48.48484848,321.6348485,2.035353535,10.35,3.196975821,13.54901113
48.48484848,321.6348485,2.101010101,10.61,3.196975821,13.80763758
48.48484848,321.6348485,2.166666667,10.85,3.196975821,14.0491938
48.48484848,321.6348485,2.232323232,11.08,3.196975821,14.27205289
48.48484848,321.6348485,2.297979798,11.28,3.196975821,14.47444619
48.48484848,321.6348485,2.363636364,11.46,3.196975821,14.65443192
48.48484848,321.6348485,2.429292929,11.61,3.196975821,14.80987203
48.48484848,321.6348485,2.494949495,11.74,3.196975821,14.9384157
48.48484848,321.6348485,2.560606061,11.84,3.196975821,15.03744807
48.48484848,321.6348485,2.626262626,11.91,3.196975821,15.10407352
48.48484848,321.6348485,2.691919192,11.94,3.196975821,15.13506384
48.48484848,321.6348485,2.757575758,11.93,3.196975821,15.12681099
48.48484848,321.6348485,2.823232323,11.88,3.196975821,15.07527013
48.48484848,321.6348485,2.888888889,11.78,3.196975821,14.97590237
48.48484848,321.6348485,2.954545455,11.63,3.196975821,14.82358553
48.48484848,321.6348485,3.02020202,11.42,3.196975821,14.61253427
48.48484848,321.6348485,3.085858586,11.14,3.196975821,14.33618955
48.48484848,321.6348485,3.151515152,10.79,3.196975821,13.98709625
48.48484848,321.6348485,3.217171717,10.36,3.196975821,13.55674244
48.48484848,321.6348485,3.282828283,9.84,3.196975821,13.03540856
48.48484848,321.6348485,3.348484848,9.21,3.196975821,12.41191586
48.48484848,321.6348485,3.414141414,8.48,3.196975821,11.67338312
48.48484848,321.6348485,3.47979798,7.61,3.196975821,10.80493766
48.48484848,321.6348485,3.545454545,6.59,3.196975821,9.78928418
48.48484848,321.6348485,3.611111111,5.41,3.196975821,8.6062693
48.48484848,321.6348485,3.676767677,4.04,3.196975821,7.23228703
48.48484848,321.6348485,3.742424242,2.44,3.196975821,5.639549655
48.48484848,321.6348485,3.808080808,0.60,3.196975821,3.79518413
48.48484848,321.6348485,3.873737374,-1.54,3.196975821,1.660076321
48.48484848,321.6348485,3.939393939,-4.01,3.196975821,-0.812604303
48.48484848,321.6348485,4.005050505,-6.88,3.196975821,-3.679305558
48.48484848,321.6348485,4.070707071,-10.21,3.196975821,-7.008573777
48.48484848,321.6348485,4.136363636,-14.08,3.196975821,-10.88435501
48.48484848,321.6348485,4.202020202,-18.61,3.196975821,-15.41041899
48.48484848,321.6348485,4.267676768,-23.91,3.196975821,-20.71641434
48.48484848,321.6348485,4.333333333,-30.16,3.196975821,-26.96633421
48.48484848,321.6348485,4.398989899,-37.57,3.196975821,-34.37065435
48.48484848,321.6348485,4.464646465,-46.40,3.196975821,-43.20418407
48.48484848,321.6348485,4.53030303,NaN,3.196975821,NaN
48.48484848,321.6348485,4.595959596,NaN,3.196975821,NaN
48.48484848,321.6348485,4.661616162,NaN,3.196975821,NaN
48.48484848,321.6348485,4.727272727,NaN,3.196975821,NaN
48.48484848,321.6348485,4.792929293,NaN,3.196975821,NaN
48.48484848,321.6348485,4.858585859,NaN,3.196975821,NaN
48.48484848,321.6348485,4.924242424,NaN,3.196975821,NaN
48.48484848,321.6348485,4.98989899,NaN,3.196975821,NaN
48.48484848,321.6348485,5.055555556,NaN,3.196975821,NaN
48.48484848,321.6348485,5.121212121,NaN,3.196975821,NaN
48.48484848,321.6348485,5.186868687,NaN,3.196975821,NaN
48.48484848,321.6348485,5.252525253,NaN,3.196975821,NaN
48.48484848,321.6348485,5.318181818,NaN,3.196975821,NaN
48.48484848,321.6348485,5.383838384,NaN,3.196975821,NaN
48.48484848,321.6348485,5.449494949,NaN,3.196975821,NaN
48.48484848,321.6348485,5.515151515,NaN,3.196975821,NaN
48.48484848,321.6348485,5.580808081,NaN,3.196975821,NaN
48.48484848,321.6348485,5.646464646,NaN,3.196975821,NaN
48.48484848,321.6348485,5.712121212,NaN,3.196975821,NaN
48.48484848,321.6348485,5.777777778,NaN,3.196975821,NaN
48.48484848,321.6348485,5.843434343,NaN,3.196975821,NaN
48.48484848,321.6348485,5.909090909,NaN,3.196975821,NaN
48.48484848,321.6348485,5.974747475,NaN,3.196975821,NaN
48.48484848,321.6348485,6.04040404,NaN,3.196975821,NaN
48.48484848,321.6348485,6.106060606,NaN,3.196975821,NaN
48.48484848,321.6348485,6.171717172,NaN,3.196975821,NaN
48.48484848,321.6348485,6.237373737,NaN,3.196975821,NaN
48.48484848,321.6348485,6.303030303,NaN,3.196975821,NaN
48.48484848,321.6348485,6.368686869,NaN,3.196975821,NaN
48.48484848,321.6348485,6.434343434,NaN,3.196975821,NaN
48.48484848,321.6348485,6.5,NaN,3.196975821,NaN
47.97979798,321.129798,0,0.00,3.048970368,3.048970368
47.97979798,321.129798,0.065656566,0.23,3.048970368,3.274853154
47.97979798,321.129798,0.131313131,0.47,3.048970368,3.516385501
47.97979798,321.129798,0.196969697,0.73,3.048970368,3.780580889
47.97979798,321.129798,0.262626263,1.02,3.048970368,4.064831068
47.97979798,321.129798,0.328282828,1.32,3.048970368,4.366408426
47.97979798,321.129798,0.393939394,1.63,3.048970368,4.682880468
47.97979798,321.129798,0.45959596,1.96,3.048970368,5.012093755
47.97979798,321.129798,0.525252525,2.30,3.048970368,5.352139774
47.97979798,321.129798,0.590909091,2.65,3.048970368,5.701324893
47.97979798,321.129798,0.656565657,3.01,3.048970368,6.058114329
47.97979798,321.129798,0.722222222,3.37,3.048970368,6.421110335
47.97979798,321.129798,0.787878788,3.74,3.048970368,6.789035076
47.97979798,321.129798,0.853535354,4.11,3.048970368,7.160697258
47.97979798,321.129798,0.919191919,4.49,3.048970368,7.53498659
47.97979798,321.129798,0.984848485,4.86,3.048970368,7.910860977
47.97979798,321.129798,1.050505051,5.24,3.048970368,8.286735363
47.97979798,321.129798,1.116161616,5.61,3.048970368,8.66260975
47.97979798,321.129798,1.181818182,5.99,3.048970368,9.038224923
47.97979798,321.129798,1.247474747,6.36,3.048970368,9.413840097
47.97979798,321.129798,1.313131313,6.74,3.048970368,9.78945527
47.97979798,321.129798,1.378787879,7.12,3.048970368,10.16507044
47.97979798,321.129798,1.444444444,7.49,3.048970368,10.54068562
47.97979798,321.129798,1.51010101,7.81,3.048970368,10.8617908
47.97979798,321.129798,1.575757576,8.16,3.048970368,11.21020077
47.97979798,321.129798,1.641414141,8.50,3.048970368,11.55104825
47.97979798,321.129798,1.707070707,8.83,3.048970368,11.88336766
47.97979798,321.129798,1.772727273,9.16,3.048970368,12.20615538
47.97979798,321.129798,1.838383838,9.47,3.048970368,12.51834338
47.97979798,321.129798,1.904040404,9.77,3.048970368,12.81881556
47.97979798,321.129798,1.96969697,10.06,3.048970368,13.10637737
47.97979798,321.129798,2.035353535,10.33,3.048970368,13.37975027
47.97979798,321.129798,2.101010101,10.59,3.048970368,13.63755392
47.97979798,321.129798,2.166666667,10.83,3.048970368,13.87830317
47.97979798,321.129798,2.232323232,11.05,3.048970368,14.10037404
47.97979798,321.129798,2.297979798,11.25,3.048970368,14.30200077
