T,M,LW,LW_t,LW_h,T_k
48.98989899,2.954545455,13.96,17.26302289,17.26302289,321.989899
48.98989899,3.02020202,14.19,17.49302289,17.49302289,321.989899
48.98989899,3.085858586,14.41,17.71302289,17.71302289,321.989899
48.98989899,3.151515152,14.62,17.92302289,17.92302289,321.989899
48.98989899,3.217171717,14.82,18.12302289,18.12302289,321.989899
48.98989899,3.282828283,15.02,18.32302289,18.32302289,321.989899
48.98989899,3.348484848,15.21,18.51302289,18.51302289,321.989899
48.98989899,3.414141414,15.39,18.69302289,18.69302289,321.989899
48.98989899,3.47979798,15.56,18.86302289,18.86302289,321.989899
48.98989899,3.545454545,15.73,19.03302289,19.03302289,321.989899
48.98989899,3.611111111,15.88,19.18302289,19.18302289,321.989899
48.98989899,3.676767677,16.03,19.33302289,19.33302289,321.989899
48.98989899,3.742424242,16.16,19.46302289,19.46302289,321.989899
48.98989899,3.808080808,16.28,19.58302289,19.58302289,321.989899
48.98989899,3.873737374,16.4,19.70302289,19.70302289,321.989899
48.98989899,3.939393939,16.5,19.80302289,19.80302289,321.989899
48.98989899,4.005050505,16.59,19.89302289,19.89302289,321.989899
48.98989899,4.070707071,16.67,19.97302289,19.97302289,321.989899
48.98989899,4.136363636,16.73,20.03302289,20.03302289,321.989899
48.98989899,4.202020202,16.78,20.08302289,20.08302289,321.989899
48.98989899,4.267676768,16.82,20.12302289,20.12302289,321.989899
48.98989899,4.333333333,16.84,20.14302289,20.14302289,321.989899
48.98989899,4.398989899,16.85,20.15302289,20.15302289,321.989899
48.98989899,4.464646465,16.84,20.14302289,20.14302289,321.989899
48.98989899,4.53030303,16.82,20.12302289,20.12302289,321.989899
48.98989899,4.595959596,16.78,20.08302289,20.08302289,321.989899
48.98989899,4.661616162,16.73,20.03302289,20.03302289,321.989899
48.98989899,4.727272727,16.65,19.95302289,19.95302289,321.989899
48.98989899,4.792929293,16.56,19.86302289,19.86302289,321.989899
48.98989899,4.858585859,16.45,19.75302289,19.75302289,321.989899
48.98989899,4.924242424,16.31,19.61302289,19.61302289,321.989899
48.98989899,4.98989899,16.16,19.46302289,19.46302289,321.989899
48.98989899,5.055555556,15.98,19.28302289,19.28302289,321.989899
48.98989899,5.121212121,15.79,19.09302289,19.09302289,321.989899
48.98989899,5.186868687,15.56,18.86302289,18.86302289,321.989899
48.98989899,5.252525253,15.32,18.62302289,18.62302289,321.989899
48.98989899,5.318181818,15.05,18.35302289,18.35302289,321.989899
48.98989899,5.383838384,14.75,18.05302289,18.05302289,321.989899
48.98989899,5.449494949,14.43,17.73302289,17.73302289,321.989899
